(Poblacion Generaciones Mutacion Elemento Mutacion Teoria Mutacion Practica Torneo),(Selección Cruce Sustitucion),Mejor Generacion,Mejor Fitness,Tiempo
100-50-9e-05-0.005-0.005-20,(torneo uniforme truncamiento),18,0.7175 ( 233 0.9997 0.9529 0.7019 0.4836 ) ,3.75 min
100-50-9e-05-0.005-0.005-50,(torneo uniforme elitismo),13,0.7161 ( 250 0.9999 0.9499 0.7230 0.4847 ) ,3.69 min
100-50-9e-05-0.005-0.005-50,(torneo uniforme reemplazo),10,0.7096 ( 250 0.9997 0.9406 0.7167 0.4878 ) ,1.83 min
100-50-9e-05-0.005-0.005-50,(torneo uniforme truncamiento),10,0.7038 ( 255 1.0000 0.9362 0.7156 0.4760 ) ,3.62 min
100-50-9e-05-0.005-0.05-10,(torneo uniforme elitismo),48,0.7271 ( 237 0.9979 0.9620 0.7149 0.5157 ) ,3.72 min
100-50-9e-05-0.005-0.05-10,(torneo uniforme reemplazo),31,0.7299 ( 226 0.9993 0.9554 0.7142 0.5295 ) ,1.98 min
100-50-9e-05-0.005-0.05-10,(torneo uniforme truncamiento),24,0.7147 ( 263 0.9995 0.9530 0.7202 0.4859 ) ,3.66 min
100-50-9e-05-0.005-0.05-20,(torneo uniforme elitismo),18,0.7280 ( 241 0.9991 0.9628 0.7177 0.5035 ) ,3.77 min
100-50-9e-05-0.005-0.05-20,(torneo uniforme reemplazo),27,0.7228 ( 247 0.9999 0.9581 0.7118 0.4973 ) ,1.99 min
100-50-9e-05-0.005-0.05-20,(torneo uniforme truncamiento),21,0.7159 ( 239 0.9996 0.9566 0.7058 0.4709 ) ,3.85 min
100-50-9e-05-0.005-0.05-50,(torneo uniforme elitismo),12,0.7065 ( 262 1.0000 0.9401 0.7121 0.4839 ) ,3.68 min
100-50-9e-05-0.005-0.05-50,(torneo uniforme reemplazo),13,0.7129 ( 266 1.0000 0.9545 0.7052 0.4919 ) ,1.83 min
100-50-9e-05-0.005-0.05-50,(torneo uniforme truncamiento),13,0.7170 ( 255 1.0000 0.9513 0.7187 0.4980 ) ,3.74 min
100-50-9e-05-0.05-0.0005-10,(torneo uniforme elitismo),26,0.7210 ( 256 0.9949 0.9570 0.7099 0.5187 ) ,3.76 min
100-50-9e-05-0.05-0.0005-10,(torneo uniforme reemplazo),20,0.7206 ( 252 0.9969 0.9590 0.7083 0.5019 ) ,1.92 min
100-50-9e-05-0.05-0.0005-10,(torneo uniforme truncamiento),24,0.7138 ( 268 0.9968 0.9562 0.7052 0.4853 ) ,3.79 min
100-50-9e-05-0.05-0.0005-20,(torneo uniforme elitismo),16,0.7117 ( 266 0.9965 0.9504 0.7157 0.4872 ) ,3.79 min
100-50-9e-05-0.05-0.0005-20,(torneo uniforme reemplazo),20,0.7182 ( 253 0.9963 0.9526 0.7193 0.5046 ) ,1.84 min
100-50-9e-05-0.05-0.0005-20,(torneo uniforme truncamiento),15,0.7135 ( 263 0.9977 0.9497 0.7139 0.4948 ) ,3.74 min
100-50-9e-05-0.05-0.0005-50,(torneo uniforme elitismo),10,0.7032 ( 269 0.9990 0.9393 0.7057 0.4836 ) ,3.59 min
100-50-9e-05-0.05-0.0005-50,(torneo uniforme reemplazo),10,0.7054 ( 291 0.9976 0.9528 0.7240 0.4717 ) ,1.89 min
100-50-9e-05-0.05-0.0005-50,(torneo uniforme truncamiento),9,0.6983 ( 286 0.9982 0.9456 0.7056 0.4658 ) ,3.66 min
100-50-9e-05-0.05-0.005-10,(torneo uniforme elitismo),23,0.7212 ( 250 0.9954 0.9561 0.7164 0.5045 ) ,3.88 min
100-50-9e-05-0.05-0.005-10,(torneo uniforme reemplazo),21,0.7166 ( 244 0.9972 0.9541 0.7011 0.4900 ) ,1.92 min
100-50-9e-05-0.05-0.005-10,(torneo uniforme truncamiento),14,0.7121 ( 250 0.9984 0.9462 0.7095 0.4987 ) ,3.69 min
100-50-9e-05-0.05-0.005-20,(torneo uniforme elitismo),16,0.7176 ( 258 0.9973 0.9524 0.7223 0.4968 ) ,3.72 min
100-50-9e-05-0.05-0.005-20,(torneo uniforme reemplazo),21,0.7139 ( 280 0.9934 0.9564 0.7197 0.4973 ) ,1.96 min
100-50-9e-05-0.05-0.005-20,(torneo uniforme truncamiento),18,0.7096 ( 275 0.9936 0.9470 0.7195 0.5125 ) ,3.72 min
100-50-9e-05-0.05-0.005-50,(torneo uniforme elitismo),11,0.7090 ( 232 0.9975 0.9349 0.7019 0.4817 ) ,3.67 min
100-50-9e-05-0.05-0.005-50,(torneo uniforme reemplazo),10,0.7070 ( 263 0.9976 0.9436 0.7111 0.4809 ) ,1.92 min
100-50-9e-05-0.05-0.005-50,(torneo uniforme truncamiento),9,0.7106 ( 252 0.9987 0.9419 0.7150 0.4929 ) ,3.65 min
100-50-9e-05-0.05-0.05-10,(torneo uniforme elitismo),19,0.7111 ( 263 0.9957 0.9469 0.7197 0.4929 ) ,3.74 min
100-50-9e-05-0.05-0.05-10,(torneo uniforme reemplazo),31,0.7307 ( 230 0.9960 0.9628 0.7134 0.5265 ) ,1.95 min
100-50-9e-05-0.05-0.05-10,(torneo uniforme truncamiento),24,0.7188 ( 257 0.9970 0.9599 0.7135 0.4912 ) ,3.81 min
100-50-9e-05-0.05-0.05-20,(torneo uniforme elitismo),17,0.7208 ( 244 0.9969 0.9537 0.7120 0.5031 ) ,3.74 min
100-50-9e-05-0.05-0.05-20,(torneo uniforme reemplazo),16,0.7189 ( 260 0.9976 0.9580 0.7165 0.4956 ) ,1.91 min
100-50-9e-05-0.05-0.05-20,(torneo uniforme truncamiento),19,0.7197 ( 251 0.9968 0.9560 0.6997 0.5033 ) ,3.76 min
100-50-9e-05-0.05-0.05-50,(torneo uniforme elitismo),10,0.6998 ( 263 0.9966 0.9373 0.7018 0.4629 ) ,3.70 min
100-50-9e-05-0.05-0.05-50,(torneo uniforme reemplazo),10,0.7054 ( 265 0.9990 0.9419 0.7157 0.4795 ) ,1.92 min
100-50-9e-05-0.05-0.05-50,(torneo uniforme truncamiento),9,0.7051 ( 276 0.9975 0.9435 0.7067 0.4926 ) ,3.63 min
100-80-9e-05-0.0005-0.0005-10,(torneo uniforme elitismo),30,0.7289 ( 219 1.0000 0.9571 0.7178 0.5145 ) ,6.04 min
100-80-9e-05-0.0005-0.0005-10,(torneo uniforme reemplazo),36,0.7297 ( 236 1.0000 0.9634 0.7108 0.5255 ) ,3.03 min
100-80-9e-05-0.0005-0.0005-10,(torneo uniforme truncamiento),28,0.7242 ( 241 1.0000 0.9611 0.7184 0.4905 ) ,5.95 min
100-80-9e-05-0.0005-0.0005-20,(torneo uniforme elitismo),16,0.7105 ( 261 1.0000 0.9489 0.7190 0.4823 ) ,6.12 min
100-80-9e-05-0.0005-0.0005-20,(torneo uniforme reemplazo),16,0.7178 ( 254 1.0000 0.9581 0.7156 0.4858 ) ,2.96 min
100-80-9e-05-0.0005-0.0005-20,(torneo uniforme truncamiento),18,0.7182 ( 234 1.0000 0.9462 0.7106 0.4928 ) ,5.86 min
100-80-9e-05-0.0005-0.0005-50,(torneo uniforme elitismo),12,0.7086 ( 272 1.0000 0.9502 0.7151 0.4766 ) ,5.85 min
100-80-9e-05-0.0005-0.0005-50,(torneo uniforme reemplazo),12,0.7142 ( 257 1.0000 0.9460 0.7135 0.5055 ) ,3.01 min
100-80-9e-05-0.0005-0.0005-50,(torneo uniforme truncamiento),12,0.7133 ( 246 1.0000 0.9441 0.7179 0.4975 ) ,5.83 min
100-80-9e-05-0.0005-0.005-10,(torneo uniforme elitismo),65,0.7211 ( 229 1.0000 0.9573 0.7189 0.4848 ) ,5.98 min
100-80-9e-05-0.0005-0.005-10,(torneo uniforme reemplazo),40,0.7355 ( 204 1.0000 0.9648 0.7177 0.5060 ) ,3.18 min
100-80-9e-05-0.0005-0.005-10,(torneo uniforme truncamiento),30,0.7244 ( 235 0.9996 0.9589 0.7171 0.4956 ) ,6.20 min
100-80-9e-05-0.0005-0.005-20,(torneo uniforme elitismo),18,0.7139 ( 238 1.0000 0.9527 0.7048 0.4724 ) ,5.97 min
100-80-9e-05-0.0005-0.005-20,(torneo uniforme reemplazo),28,0.7233 ( 227 1.0000 0.9523 0.7323 0.5025 ) ,3.06 min
100-80-9e-05-0.0005-0.005-20,(torneo uniforme truncamiento),18,0.7181 ( 237 1.0000 0.9535 0.7000 0.4801 ) ,5.97 min
100-80-9e-05-0.0005-0.005-50,(torneo uniforme elitismo),38,0.7093 ( 259 1.0000 0.9433 0.7112 0.4854 ) ,5.87 min
100-80-9e-05-0.0005-0.005-50,(torneo uniforme reemplazo),12,0.7097 ( 249 1.0000 0.9434 0.7115 0.4833 ) ,3.02 min
100-80-9e-05-0.0005-0.005-50,(torneo uniforme truncamiento),21,0.7110 ( 262 1.0000 0.9414 0.7178 0.4965 ) ,5.94 min
